ÇàÁ¤±¸¿ªº°,Æ¯¼ºº°,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,ÃÑ°è
ÇàÁ¤±¸¿ªº°,Æ¯¼ºº°,³íº­Àç¹è³ó°¡ (°¡±¸),°æ¿î±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),Æ®·¢ÅÍ:³ó°¡ (°¡±¸),´ë¼ö (´ë),ÄÞ¹ÙÀÎ:³ó°¡ (°¡±¸),´ë¼ö (´ë),°ÇÁ¶±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),ÀÌ¾Ó±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),±¼Âø±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),ÃÑ°è
¿ÏÁÖ±º,³íº­,2502,1008,1069,621,693,211,214,601,638,352,356,12,12,2982
Áø¾È±º,³íº­,943,512,515,388,395,104,104,556,595,230,230,6,6,1845
¹«ÁÖ±º,³íº­,852,434,452,196,204,34,34,285,300,130,132,2,2,1124
Àå¼ö±º,³íº­,1465,704,725,394,420,100,102,363,380,257,258,11,11,1896
ÀÓ½Ç±º,³íº­,2002,1047,1101,564,601,237,240,841,902,433,436,15,16,3296
¼øÃ¢±º,³íº­,2678,1446,1581,770,839,288,288,1271,1435,494,494,36,36,4673
°íÃ¢±º,³íº­,4392,2404,2649,1527,1757,578,586,1044,1170,868,894,62,63,7119
ºÎ¾È±º,³íº­,3789,1681,1796,1455,1724,694,729,1110,1435,884,910,75,76,6670
µ¿ºÎ,³íº­,3795,1072,1226,506,574,222,227,603,655,407,414,38,38,3134
À¾ºÎ,³íº­,14298,5978,6444,3698,4135,1514,1544,3396,3824,2163,2220,165,168,18335
¸éºÎ,³íº­,46186,25228,27125,15343,17164,6288,6399,16049,18409,9269,9439,600,616,79152
¸ñÆ÷½Ã,³íº­,581,116,126,74,79,33,34,46,55,52,53,3,3,350
¿©¼ö½Ã,³íº­,1853,920,1055,299,318,135,136,625,648,320,321,19,19,2497
¼øÃµ½Ã,³íº­,3815,1641,1815,723,811,315,325,1089,1191,573,587,62,62,4791
³ªÁÖ½Ã,³íº­,5226,2518,2678,1568,1754,597,609,1202,1338,806,814,46,46,7239
±¤¾ç½Ã,³íº­,1950,698,776,203,208,112,114,387,413,177,183,17,19,1713
´ã¾ç±º,³íº­,3439,1357,1450,631,703,266,271,741,791,387,396,34,34,3645
°î¼º±º,³íº­,2892,1418,1472,673,746,297,302,949,1011,433,436,37,40,4007
±¸·Ê±º,³íº­,1577,777,807,282,309,138,141,829,859,245,248,15,15,2379
°íÈï±º,³íº­,3946,2401,2606,1407,1574,657,670,1417,1595,822,832,71,73,7350
º¸¼º±º,³íº­,3233,1816,1959,1025,1113,379,381,1123,1217,586,593,46,48,5311
È­¼ø±º,³íº­,3135,1245,1323,614,661,332,337,945,1064,475,485,44,48,3918
ÀåÈï±º,³íº­,3558,1764,1895,1347,1590,479,487,1318,1655,770,787,49,49,6463
°­Áø±º,³íº­,3886,1990,2099,1425,1506,539,540,1220,1353,751,757,30,30,6285
ÇØ³²±º,³íº­,4684,2597,2758,2286,2508,872,889,1985,2306,1132,1166,66,68,9695
¿µ¾Ï±º,³íº­,4380,2195,2402,1707,2047,723,739,1343,1596,1106,1137,61,63,7984
¹«¾È±º,³íº­,2613,1356,1453,708,759,215,218,624,686,368,375,36,36,3527
ÇÔÆò±º,³íº­,3275,1732,1844,1025,1118,412,416,902,1029,606,616,34,34,5057
¿µ±¤±º,³íº­,3093,1865,2044,1120,1330,479,485,1024,1274,680,692,31,32,5857
Àå¼º±º,³íº­,2657,1067,1171,566,680,272,282,594,683,393,403,25,25,3244
¿Ïµµ±º,³íº­,832,479,542,235,253,111,115,251,285,155,160,9,9,1364
Áøµµ±º,³íº­,1325,742,771,579,618,199,202,622,776,335,348,18,18,2733
½Å¾È±º,³íº­,2329,1584,1749,1050,1188,462,477,812,1063,667,684,50,51,5212
µ¿ºÎ,³íº­,11556,3100,3240,1574,1649,621,631,1264,1318,1299,1313,53,54,8205
À¾ºÎ,³íº­,13354,6267,6583,3434,3654,1327,1344,2804,2974,2722,2750,75,75,17380
¸éºÎ,³íº­,31582,20812,22307,12070,12765,4936,4999,12353,13248,9262,9325,299,305,62949
Æ÷Ç×½Ã,³íº­,6500,1946,2048,1133,1212,693,702,875,911,1113,1125,33,33,6031
³²±¸,³íº­,2597,816,888,299,312,178,181,331,339,428,433,18,18,2171
ºÏ±¸,³íº­,3903,1130,1160,834,900,515,521,544,572,685,692,15,15,3860
°æÁÖ½Ã,³íº­,7984,4173,4419,2237,2362,1191,1206,1794,1876,2312,2329,70,73,12265
±èÃµ½Ã,³íº­,2210,1267,1314,653,679,234,236,646,689,440,443,18,18,3379
¾Èµ¿½Ã,³íº­,3395,1800,1915,950,1015,258,264,1112,1239,592,603,39,41,5077
±¸¹Ì½Ã,³íº­,6286,3051,3171,1812,1900,591,601,1363,1400,1227,1231,24,24,8327
¿µÁÖ½Ã,³íº­,1613,806,821,519,534,151,151,508,543,354,356,12,12,2417
¿µÃµ½Ã,³íº­,1152,693,732,238,249,117,118,280,297,206,210,6,6,1612
»óÁÖ½Ã,³íº­,5167,3337,3407,2067,2119,723,727,1922,1979,1472,1477,32,32,9741
¹®°æ½Ã,³íº­,2587,1275,1351,739,789,272,275,708,767,552,554,16,17,3753
