"ÇàÁ¤±¸¿ªº°","Æ¯¼ºº°",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
"ÇàÁ¤±¸¿ªº°","Æ¯¼ºº°",³ó°¡ (°¡±¸),°æ¿î±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),Æ®·¢ÅÍ:³ó°¡ (°¡±¸),´ë¼ö (´ë),ÄÞ¹ÙÀÎ:³ó°¡ (°¡±¸),´ë¼ö (´ë),°ü¸®±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),°ÇÁ¶±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),ÀÌ¾Ó±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),°ú¼ö¿ø¿ëSSºÐ¹«±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),±¼»è±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),Àú¿ÂÀúÀå°í:³ó°¡ (°¡±¸),¹Ù´Ú¸éÀû (§³)
"¿ÁÃµ±º","³íº­",1651,952,1004,363,380,165,170,811,849,624,680,405,410,23,23,19,29,124,1577
"¿µµ¿±º","³íº­",847,514,532,140,140,53,53,401,404,296,302,188,189,14,14,2,2,23,955
"ÁøÃµ±º","³íº­",2887,1480,1509,610,632,274,275,642,648,1011,1078,696,700,7,7,20,20,36,885
"±«»ê±º","³íº­",1428,857,886,334,348,149,149,612,653,761,813,376,377,2,2,20,20,226,3224
"À½¼º±º","³íº­",2591,1502,1544,580,600,235,236,835,859,1132,1234,736,743,15,15,26,26,45,733
"´Ü¾ç±º","³íº­",111,54,54,24,26,13,14,52,57,60,72,27,28,2,2,3,3,4,82
"ÁõÆò±º","³íº­",975,403,408,179,184,79,79,289,310,296,315,230,231,8,8,9,14,31,638
"µ¿ºÎ","³íº­",9137,2499,2625,1113,1184,488,492,1294,1323,1115,1208,1278,1298,45,49,56,87,111,3630
"À¾ºÎ","³íº­",13735,6671,6967,3248,3482,1360,1375,3805,3869,3560,3851,3003,3061,105,107,154,209,474,8311
"¸éºÎ","³íº­",52345,31674,33134,14788,15815,6044,6091,18256,18634,18787,20287,13927,14062,440,449,715,983,2704,45814
"Ãµ¾È½Ã","³íº­",5791,2246,2316,939,976,377,379,1181,1194,1303,1369,951,959,91,94,35,51,112,1758
"µ¿³²±¸","³íº­",3571,1473,1510,532,553,218,219,755,764,976,1027,620,626,15,18,23,33,78,1289
"¼­ºÏ±¸","³íº­",2220,773,806,407,423,159,160,426,430,327,342,331,333,76,76,12,18,34,469
"°øÁÖ½Ã","³íº­",5717,2450,2475,933,952,383,385,1530,1546,1495,1570,1087,1093,54,55,75,123,485,7746
"º¸·É½Ã","³íº­",5670,3595,3997,1392,1487,555,560,1171,1191,2211,2354,1589,1603,10,10,87,121,303,5919
"¾Æ»ê½Ã","³íº­",6284,3111,3219,1581,1655,631,636,1486,1505,1240,1401,1303,1316,55,59,32,41,89,2394
"¼­»ê½Ã","³íº­",7692,4499,4675,2224,2419,970,979,2087,2152,2166,2330,2223,2250,13,13,136,175,184,3918
"³í»ê½Ã","³íº­",5503,2281,2351,1180,1266,492,497,1945,1993,1145,1277,1111,1127,40,41,48,71,311,6381
"°è·æ½Ã","³íº­",254,97,100,41,42,22,22,81,81,54,57,60,60,,,3,3,9,146
"´çÁø½Ã","³íº­",8085,4847,5062,2789,3029,1155,1168,2607,2701,2685,2965,2384,2422,24,24,134,168,142,3282
"±Ý»ê±º","³íº­",2480,1183,1220,375,384,138,138,1060,1084,584,600,399,405,3,3,21,26,75,1997
"ºÎ¿©±º","³íº­",4943,2206,2264,1130,1203,420,422,1965,1990,1524,1634,1024,1028,101,104,57,64,367,5445
"¼­Ãµ±º","³íº­",4311,2503,2744,1250,1407,578,585,1354,1372,1817,2053,1340,1377,12,13,61,71,180,3441
"Ã»¾ç±º","³íº­",3172,1905,1939,831,864,350,351,1350,1387,1982,2186,857,864,50,50,48,63,628,7866
"È«¼º±º","³íº­",5534,3538,3672,1448,1552,585,591,2035,2074,2184,2299,1294,1312,7,7,69,116,137,2258
"¿¹»ê±º","³íº­",6026,3756,3866,1955,2088,815,822,2426,2462,1742,1851,1371,1379,80,81,58,110,132,2727
"ÅÂ¾È±º","³íº­",3755,2627,2826,1081,1157,421,423,1077,1094,1330,1400,1215,1226,50,51,61,76,135,2477
"µ¿ºÎ","³íº­",10546,2816,2951,1694,1927,884,900,1805,1833,1582,1763,1501,1530,79,82,91,120,439,7037
"À¾ºÎ","³íº­",6293,2928,3064,1614,1804,666,683,1864,1902,1712,1900,1270,1286,23,23,72,85,573,7653
"¸éºÎ","³íº­",35762,21041,22080,11737,13683,5388,5488,11885,12178,13321,15253,9597,9736,372,382,521,661,4901,63635
