"ÇàÁ¤±¸¿ªº°","Æ¯¼ºº°",2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010
"ÇàÁ¤±¸¿ªº°","Æ¯¼ºº°",³ó°¡ (°¡±¸),°æ¿î±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),Æ®·¢ÅÍ:³ó°¡ (°¡±¸),´ë¼ö (´ë),ÄÞ¹ÙÀÎ:³ó°¡ (°¡±¸),´ë¼ö (´ë),°ü¸®±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),°ÇÁ¶±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),ÀÌ¾Ó±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),°ú¼ö¿ø¿ëSSºÐ¹«±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),Àú¿ÂÀúÀå°í:³ó°¡ (°¡±¸),¹Ù´Ú¸éÀû (§³)
"¸éºÎ","³íº­",42864,25917,27468,10963,12859,5347,5444,11705,11931,11326,13252,11250,11492,147,148,2087,37639
"ÀüÁÖ½Ã","³íº­",3312,966,1032,383,428,230,231,567,579,329,364,375,382,16,17,24,588
"¿Ï»ê±¸","³íº­",1385,314,323,117,125,78,78,198,202,115,121,130,132,4,4,13,256
"´öÁø±¸","³íº­",1927,652,709,266,303,152,153,369,377,214,243,245,250,12,13,11,332
"±º»ê½Ã","³íº­",6011,2343,2567,1408,1959,841,870,1320,1369,1300,1665,1210,1264,3,3,46,2310
"ÀÍ»ê½Ã","³íº­",8324,3781,4000,2021,2439,1093,1117,1971,2010,1604,2088,2030,2096,19,19,83,3855
"Á¤À¾½Ã","³íº­",5621,3253,3397,1545,1824,861,875,1415,1433,1422,1703,1559,1597,18,18,141,3211
"³²¿ø½Ã","³íº­",6087,3670,3886,1379,1433,441,441,1640,1665,1098,1174,1650,1662,24,24,209,4250
"±èÁ¦½Ã","³íº­",7204,4066,4246,2286,2845,1220,1252,2052,2098,2061,2596,1896,1969,29,29,114,5998
"¿ÏÁÖ±º","³íº­",3657,1755,1853,543,572,235,237,1073,1082,726,740,591,597,19,19,102,2301
"Áø¾È±º","³íº­",1693,1042,1057,371,378,128,130,712,743,753,801,437,439,2,2,92,1535
"¹«ÁÖ±º","³íº­",1045,571,583,134,137,50,51,389,397,192,195,239,240,6,6,10,424
"Àå¼ö±º","³íº­",2020,1190,1220,378,381,134,134,583,586,229,235,485,491,8,8,77,1402
"ÀÓ½Ç±º","³íº­",3104,1668,1728,500,517,221,222,736,743,1189,1243,709,713,20,20,286,5585
